Date,Open,High,Low,Close,Adj Close,Volume
2013-08-30,6.195800,6.328670,6.125870,6.286710,6.286710,184674992
2013-09-02,6.370630,6.496500,6.258740,6.272730,6.272730,201968767
2013-09-03,6.265730,6.377620,6.216780,6.356640,6.356640,200748635
2013-09-04,6.321680,6.461540,6.314690,6.391610,6.391610,203703577
2013-09-05,6.426570,6.426570,6.335660,6.384620,6.384620,133768505
2013-09-06,6.398600,6.902100,6.377620,6.692310,6.692310,430451610
2013-09-09,7.188810,7.363640,7.118880,7.363640,7.363640,829670590
2013-09-10,7.692310,8.034970,7.531470,7.972030,7.972030,177723668
2013-09-11,7.839160,8.020980,7.832170,7.881120,7.881120,863077953
2013-09-12,7.902100,8.671330,7.804200,8.566430,8.566430,1489384386
2013-09-13,8.447550,8.580420,8.202800,8.328670,8.328670,946154568
2013-09-16,8.391610,8.405590,7.853150,8.034970,8.034970,1000275469
2013-09-17,7.979020,8.027970,7.531470,7.573430,7.573430,731785258
2013-09-18,7.657340,7.825170,7.573430,7.692310,7.692310,572246156
2013-09-23,7.727270,7.832170,7.552450,7.818180,7.818180,648691097
2013-09-24,7.825170,7.832170,7.391610,7.559440,7.559440,681967887
2013-09-25,7.510490,7.818180,7.475520,7.538460,7.538460,549328976
2013-09-26,7.517480,7.524480,7.041960,7.111890,7.111890,641346188
2013-09-27,7.069930,7.223780,7.027970,7.160840,7.160840,348608845
2013-09-30,7.230770,7.251750,7.006990,7.055940,7.055940,366810596
2013-10-08,7.013990,7.223780,6.909090,7.153850,7.153850,369575169
2013-10-09,7.062940,7.314690,7.041960,7.181820,7.181820,348941762
2013-10-10,7.202800,7.237760,6.944060,6.979020,6.979020,356391773
2013-10-11,7.062940,7.447550,6.993010,7.377620,7.377620,632004608
2013-10-14,7.307690,7.342660,7.167830,7.195800,7.195800,391833309
2013-10-15,7.202800,7.237760,7.006990,7.069930,7.069930,303623289
2013-10-16,7.055940,7.055940,6.867130,6.930070,6.930070,310771753
2013-10-17,7.000000,7.041960,6.860140,6.867130,6.867130,207712449
2013-10-18,6.867130,7.034970,6.853150,6.909090,6.909090,185685178
2013-10-21,6.958040,7.104900,6.853150,7.076920,7.076920,302946811
2013-10-22,7.069930,7.069930,6.895100,6.944060,6.944060,223096352
2013-10-23,6.958040,7.237760,6.930070,7.006990,7.006990,372533845
2013-10-24,6.965030,7.104900,6.867130,6.979020,6.979020,243104853
2013-10-25,7.000000,7.174830,6.986010,7.041960,7.041960,366829688
